Bandstructure_0@DMoire/Moire21.hdf5

+------------------------------------------------------------------------------+
| Bandstructure Report                                                         |
| ---------------------------------------------------------------------------- |
| Fermi level = -5.087760e+00                                                  |
| Unit = eV                                                                    |
| ---------------------------------------------------------------------------- |
| Route:                                                                       |
|    Fractional       Cartesian (1/Angstrom)                                   |
| G  [0  , 0  , 0  ]  [0.0000, 0.0000, 0.0000]  x = 0.0000e+00                 |
| M  [0  , 1/2, 0  ]  [0.4812, 0.2778, 0.0000]  x = 3.6603e-01                 |
| K  [1/3, 1/3, 0  ]  [0.6416, 0.0000, 0.0000]  x = 5.7735e-01                 |
| G  [0  , 0  , 0  ]  [0.0000, 0.0000, 0.0000]  x = 1.0000e+00                 |
|                                                                              |
+------------------------------------------------------------------------------+

# Band 0
x           Energy / eV  Fractional k-point
2.5622e-01  -1.9042e+01   [0.0000e+00, 3.5000e-01, 0.0000e+00]
2.7452e-01  -1.8984e+01   [0.0000e+00, 3.7500e-01, 0.0000e+00]
2.9282e-01  -1.8922e+01   [0.0000e+00, 4.0000e-01, 0.0000e+00]
3.1112e-01  -1.8856e+01   [0.0000e+00, 4.2500e-01, 0.0000e+00]
3.2942e-01  -1.8785e+01   [0.0000e+00, 4.5000e-01, 0.0000e+00]
3.4772e-01  -1.8710e+01   [0.0000e+00, 4.7500e-01, 0.0000e+00]
3.6603e-01  -1.8749e+01   [0.0000e+00, 5.0000e-01, 0.0000e+00]
3.7659e-01  -1.8748e+01   [1.6667e-02, 4.9167e-01, 0.0000e+00]
3.8716e-01  -1.8746e+01   [3.3333e-02, 4.8333e-01, 0.0000e+00]
3.9772e-01  -1.8743e+01   [5.0000e-02, 4.7500e-01, 0.0000e+00]
4.0829e-01  -1.8738e+01   [6.6667e-02, 4.6667e-01, 0.0000e+00]
4.1886e-01  -1.8732e+01   [8.3333e-02, 4.5833e-01, 0.0000e+00]
4.2942e-01  -1.8724e+01   [1.0000e-01, 4.5000e-01, 0.0000e+00]
4.3999e-01  -1.8715e+01   [1.1667e-01, 4.4167e-01, 0.0000e+00]
4.5056e-01  -1.8705e+01   [1.3333e-01, 4.3333e-01, 0.0000e+00]
4.6112e-01  -1.8693e+01   [1.5000e-01, 4.2500e-01, 0.0000e+00]
4.7169e-01  -1.8680e+01   [1.6667e-01, 4.1667e-01, 0.0000e+00]
4.8225e-01  -1.8666e+01   [1.8333e-01, 4.0833e-01, 0.0000e+00]
4.9282e-01  -1.8650e+01   [2.0000e-01, 4.0000e-01, 0.0000e+00]
5.0339e-01  -1.8633e+01   [2.1667e-01, 3.9167e-01, 0.0000e+00]
5.1395e-01  -1.8615e+01   [2.3333e-01, 3.8333e-01, 0.0000e+00]
5.2452e-01  -1.8595e+01   [2.5000e-01, 3.7500e-01, 0.0000e+00]
5.3509e-01  -1.8573e+01   [2.6667e-01, 3.6667e-01, 0.0000e+00]
5.4565e-01  -1.8551e+01   [2.8333e-01, 3.5833e-01, 0.0000e+00]
5.5622e-01  -1.8527e+01   [3.0000e-01, 3.5000e-01, 0.0000e+00]
5.6678e-01  -1.8501e+01   [3.1667e-01, 3.4167e-01, 0.0000e+00]
5.7735e-01  -1.8477e+01   [3.3333e-01, 3.3333e-01, 0.0000e+00]
5.9848e-01  -1.8464e+01   [3.1667e-01, 3.1667e-01, 0.0000e+00]
6.1962e-01  -1.8565e+01   [3.0000e-01, 3.0000e-01, 0.0000e+00]
6.4075e-01  -1.8660e+01   [2.8333e-01, 2.8333e-01, 0.0000e+00]
6.6188e-01  -1.8750e+01   [2.6667e-01, 2.6667e-01, 0.0000e+00]
6.8301e-01  -1.8834e+01   [2.5000e-01, 2.5000e-01, 0.0000e+00]
7.0415e-01  -1.8912e+01   [2.3333e-01, 2.3333e-01, 0.0000e+00]
7.2528e-01  -1.8984e+01   [2.1667e-01, 2.1667e-01, 0.0000e+00]
7.4641e-01  -1.9050e+01   [2.0000e-01, 2.0000e-01, 0.0000e+00]
7.6754e-01  -1.9109e+01   [1.8333e-01, 1.8333e-01, 0.0000e+00]
7.8868e-01  -1.9162e+01   [1.6667e-01, 1.6667e-01, 0.0000e+00]
8.0981e-01  -1.9208e+01   [1.5000e-01, 1.5000e-01, 0.0000e+00]
8.3094e-01  -1.9245e+01   [1.3333e-01, 1.3333e-01, 0.0000e+00]
8.5207e-01  -1.9274e+01   [1.1667e-01, 1.1667e-01, 0.0000e+00]
8.7321e-01  -1.9292e+01   [1.0000e-01, 1.0000e-01, 0.0000e+00]
8.9434e-01  -1.9296e+01   [8.3333e-02, 8.3333e-02, 0.0000e+00]
9.1547e-01  -1.9283e+01   [6.6667e-02, 6.6667e-02, 0.0000e+00]
9.3660e-01  -1.9248e+01   [5.0000e-02, 5.0000e-02, 0.0000e+00]
9.5774e-01  -1.9188e+01   [3.3333e-02, 3.3333e-02, 0.0000e+00]
9.7887e-01  -1.9120e+01   [1.6667e-02, 1.6667e-02, 0.0000e+00]
1.0000e+00  -1.9086e+01   [0.0000e+00, 0.0000e+00, 0.0000e+00]

# Band 2
x           Energy / eV  Fractional k-point
0.0000e+00  -1.6319e+01   [0.0000e+00, 0.0000e+00, 0.0000e+00]
1.8301e-02  -1.6473e+01   [0.0000e+00, 2.5000e-02, 0.0000e+00]
3.6603e-02  -1.6627e+01   [0.0000e+00, 5.0000e-02, 0.0000e+00]
5.4904e-02  -1.6777e+01   [0.0000e+00, 7.5000e-02, 0.0000e+00]
7.3205e-02  -1.6923e+01   [0.0000e+00, 1.0000e-01, 0.0000e+00]
9.1506e-02  -1.7066e+01   [0.0000e+00, 1.2500e-01, 0.0000e+00]
1.0981e-01  -1.7205e+01   [0.0000e+00, 1.5000e-01, 0.0000e+00]
1.2811e-01  -1.7341e+01   [0.0000e+00, 1.7500e-01, 0.0000e+00]
1.4641e-01  -1.7473e+01   [0.0000e+00, 2.0000e-01, 0.0000e+00]
1.6471e-01  -1.7601e+01   [0.0000e+00, 2.2500e-01, 0.0000e+00]
